ID Objecttype;Objecttype;Afkorting;Alternatieve naamgeving;Beschrijving objecttype;Soort objecttype;Type geometrie;ID Attribuut;Attribuut;Alternatieve naamgeving (1);Beschrijving attribuut;Leveringsverplichting bestaand object;Leveringsverplichting nieuw object;Datatype;Constraint;ID Waardelijst;Waardelijst;ID Waardelijstitem;Waardelijstitem;Beschrijving waardelijstitem
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;051fb6c3-f2f8-ef11-b6c4-001dd8d70296;Aandeel bouwstof;Materie-aandeel;De gerealiseerde verhouding van het bouwstof ten opzichte van de totale massa van het asfaltmengsel. (Bron: Provincie Zuid-Holland);;;Numeriek;Percentage;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;4b826b77-2cf9-ef11-b6c4-001dd8d70296;Aandeel bouwstof (eis);;De vereiste verhouding van het bouwstof ten opzichte van de totale massa van het asfaltmengsel. (Bron: Provincie Zuid-Holland);;;Numeriek;Percentage;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;1a4612b6-8dd1-ef11-b6c3-001dd8d70296;Documentlink (productblad);;;Vereist;Verplicht;;;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;d0809565-0564-ed11-b698-001dd8d70296;Identificatie;Opleverdossier ID, oplever-ID;Uniek identificatienummer binnen het opleverdossier. Dit mag een eigen (opdrachtnemer) ID zijn. Wanneer geen eigen ID bekend is kan ook de PZH ID structuur gebruikt worden.;;;Gestructureerd;Elk object krijgt een eigen ID binnen het opleverdossier. Dit is een eigen gegenereerd ID of opgebouwd uit één of meerdere letters (conform de voorgeschreven afkorting van het objecttype) en een getal, beginnend bij 0001.;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;ab127f0b-3202-ef11-b6b2-001dd8d70299;Leverancier;;;Vereist;Verplicht;Vrij veld;;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;f0ed9774-c811-ef11-b6b3-001dd8d70299;Productnaam;Model, Merk, Handelsnaam, Fabricaat;Type-aanduiding van de fabrikant of leverancier. (Bron: Afgeleid uit GWSW);Vereist;Verplicht;Vrij veld;;;;;;
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;197b00a4-8dd1-ef11-b6c3-001dd8d70296;Type additief;;;Vereist;Verplicht;Waardelijst;;c8c194b3-a9d4-ef11-b6c3-001dd8d70296;TypeAdditief;f9cab9cd-aad4-ef11-b6c3-001dd8d70296;Afdruipremmer;Een additief dat het afdruipen van bitumen of mastiek voorkomt. (Bron: RAW)
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;197b00a4-8dd1-ef11-b6c3-001dd8d70296;Type additief;;;Vereist;Verplicht;Waardelijst;;c8c194b3-a9d4-ef11-b6c3-001dd8d70296;TypeAdditief;b6afbddf-a9d4-ef11-b6c3-001dd8d70296;Hechtverbeteraar;Een additief dat aan bitumen wordt toegevoegd om de hechting tussen bitumen en minerale aggregaten (zoals steenslag) te verbeteren. (Bron: Provincie Zuid-Holland)
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;197b00a4-8dd1-ef11-b6c3-001dd8d70296;Type additief;;;Vereist;Verplicht;Waardelijst;;c8c194b3-a9d4-ef11-b6c3-001dd8d70296;TypeAdditief;550a94e1-eef8-ef11-b6c4-001dd8d70296;Oppervlaktespanningverlager;Een additief dat de bevochtiging en hechting van bitumen aan aggregaten verbetert, wat de verwerkbaarheid en verdichting verbeterd (Bron: Provincie Zuid-Holland)
8a3c6f8c-dfd0-ef11-b6c3-001dd8d70296;Additief;;Toevoeging, Toeslagstof;Bouwstof met een sterke invloed op één of meer eigenschappen van een mengsel. (Bron: PIM);Fysieke asset;Geen geometrie;197b00a4-8dd1-ef11-b6c3-001dd8d70296;Type additief;;;Vereist;Verplicht;Waardelijst;;c8c194b3-a9d4-ef11-b6c3-001dd8d70296;TypeAdditief;0241b09f-abd4-ef11-b6c3-001dd8d70296;Pigment in korrelvorm;
