s,p,o
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.111638944836078,52.09235275318358],[5.11174645351155,52.09238908082968],[5.111811544902216,52.09240933941153],[5.111874441732841,52.09242567039326]]}"
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.111638944836078 52.09235275318358, 5.11174645351155 52.09238908082968, 5.111811544902216 52.09240933941153, 5.111874441732841 52.09242567039326)"
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{023949DB-5C65-4F5C-8F11-D63F7A71E896}
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,18.0789877514
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/01a31554-111c-4765-82cb-79f0b178eb8e
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,151
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{023949DB-5C65-4F5C-8F11-D63F7A71E896}
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136115.471819205 456046.515224578, 136122.854733871 456050.529041031, 136127.323999429 456052.766067407, 136131.641211146 456054.56668847)"
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/90AE9E32-2EA0-498D-9807-B9F2EB80F408
